ad_format,ad_category,ad_creative,device_type,os_version,country,language,publisher_app,day_of_week,time_of_day,clicked
video,shopping,creative_16,smartphone,Android_11,DE,fr,app_19,Thu,morning,0
banner,travel,creative_18,tablet,Android_12,JP,pt,app_14,Thu,night,0
video,shopping,creative_1,tablet,Android_11,UK,pt,app_45,Tue,night,1
interstitial,travel,creative_14,tablet,Android_11,US,hi,app_36,Sun,morning,0
interstitial,gaming,creative_13,smartphone,iOS_16,JP,fr,app_26,Tue,afternoon,1
video,finance,creative_16,tablet,Android_11,IN,hi,app_34,Thu,evening,1
interstitial,gaming,creative_19,tablet,iOS_16,UK,en,app_42,Sat,afternoon,1
banner,finance,creative_3,smartphone,Android_12,FR,ja,app_37,Wed,afternoon,0
banner,entertainment,creative_1,smartphone,iOS_16,CN,hi,app_31,Thu,afternoon,0
banner,travel,creative_18,tablet,iOS_14,DE,de,app_14,Sun,night,0
banner,gaming,creative_16,tablet,Android_13,US,hi,app_12,Sun,morning,0
banner,entertainment,creative_16,tablet,Android_13,UK,de,app_10,Wed,evening,0
banner,travel,creative_4,tablet,iOS_14,DE,de,app_4,Sun,night,0
video,food,creative_9,tablet,iOS_14,UK,hi,app_48,Mon,morning,0
banner,gaming,creative_9,tablet,iOS_15,IN,es,app_4,Mon,night,0
interstitial,food,creative_7,tablet,iOS_15,BR,zh,app_10,Mon,night,1
video,finance,creative_16,smartphone,iOS_16,FR,en,app_18,Sun,morning,1
interstitial,entertainment,creative_17,tablet,iOS_15,DE,ja,app_7,Fri,night,0
video,gaming,creative_4,smartphone,iOS_15,DE,es,app_44,Wed,evening,1
banner,travel,creative_15,smartphone,Android_11,JP,ja,app_8,Sat,morning,0
banner,finance,creative_4,tablet,iOS_16,CN,zh,app_43,Sun,night,0
video,entertainment,creative_1,smartphone,Android_11,FR,de,app_41,Mon,night,0
video,travel,creative_20,tablet,iOS_14,UK,es,app_2,Wed,night,1
interstitial,finance,creative_5,smartphone,iOS_15,DE,zh,app_22,Tue,afternoon,1
video,shopping,creative_8,smartphone,Android_11,FR,ja,app_2,Sat,evening,0
video,shopping,creative_9,smartphone,iOS_16,DE,hi,app_20,Mon,night,1
interstitial,gaming,creative_5,tablet,Android_11,JP,ja,app_34,Fri,morning,1
video,entertainment,creative_14,smartphone,Android_11,UK,hi,app_26,Fri,evening,1
banner,finance,creative_8,tablet,iOS_14,US,de,app_29,Thu,evening,1
video,entertainment,creative_11,tablet,Android_11,IN,hi,app_5,Mon,evening,1
interstitial,food,creative_1,tablet,iOS_14,BR,pt,app_41,Tue,afternoon,0
interstitial,shopping,creative_10,tablet,iOS_16,CN,en,app_2,Wed,night,1
banner,gaming,creative_2,tablet,Android_11,BR,de,app_2,Sun,morning,0
banner,food,creative_8,smartphone,Android_11,UK,en,app_13,Tue,morning,0
interstitial,food,creative_12,smartphone,Android_12,JP,es,app_17,Wed,morning,1
banner,entertainment,creative_6,tablet,iOS_14,CN,ja,app_36,Sat,morning,0
interstitial,travel,creative_3,smartphone,iOS_15,IN,de,app_5,Fri,evening,1
video,gaming,creative_7,smartphone,Android_13,FR,ja,app_46,Sun,morning,0
interstitial,travel,creative_19,tablet,Android_13,BR,ja,app_14,Thu,evening,0
interstitial,entertainment,creative_2,tablet,iOS_15,DE,zh,app_1,Tue,evening,0
interstitial,food,creative_12,smartphone,Android_13,US,fr,app_23,Tue,afternoon,1
video,finance,creative_2,tablet,Android_13,JP,es,app_10,Tue,morning,0
video,shopping,creative_12,tablet,iOS_16,FR,hi,app_35,Thu,evening,0
video,entertainment,creative_15,tablet,iOS_14,BR,zh,app_27,Thu,afternoon,1
banner,finance,creative_5,smartphone,iOS_14,UK,zh,app_50,Mon,night,1
video,entertainment,creative_6,tablet,iOS_14,FR,ja,app_45,Sun,evening,0
interstitial,entertainment,creative_3,tablet,Android_13,UK,es,app_26,Thu,afternoon,0
interstitial,finance,creative_13,tablet,Android_11,DE,pt,app_40,Mon,evening,0
banner,food,creative_15,smartphone,Android_12,US,en,app_42,Mon,evening,1
video,shopping,creative_17,smartphone,Android_13,UK,de,app_13,Mon,evening,1
interstitial,finance,creative_18,smartphone,iOS_16,CN,zh,app_1,Thu,morning,0
banner,travel,creative_17,tablet,iOS_14,JP,fr,app_20,Fri,afternoon,0
interstitial,shopping,creative_4,tablet,Android_12,BR,zh,app_38,Wed,afternoon,0
video,food,creative_1,smartphone,iOS_14,JP,zh,app_48,Wed,evening,0
video,gaming,creative_20,smartphone,Android_12,US,en,app_17,Sat,night,1
interstitial,food,creative_4,smartphone,iOS_16,CN,ja,app_8,Tue,morning,0
video,gaming,creative_5,smartphone,iOS_14,DE,de,app_30,Sun,morning,1
banner,travel,creative_8,smartphone,Android_12,IN,en,app_34,Fri,afternoon,0
interstitial,food,creative_20,tablet,iOS_14,CN,en,app_21,Tue,night,0
interstitial,food,creative_7,smartphone,Android_13,DE,hi,app_9,Fri,evening,0
banner,food,creative_2,smartphone,Android_13,US,de,app_46,Wed,morning,1
banner,finance,creative_9,smartphone,iOS_15,IN,en,app_6,Fri,evening,0
interstitial,gaming,creative_18,tablet,iOS_15,FR,fr,app_33,Wed,morning,0
interstitial,food,creative_17,tablet,Android_12,FR,zh,app_8,Tue,morning,0
banner,food,creative_13,tablet,iOS_15,CN,es,app_36,Thu,afternoon,0
interstitial,food,creative_5,tablet,iOS_14,IN,zh,app_15,Sun,night,1
video,gaming,creative_19,smartphone,iOS_16,JP,de,app_11,Thu,morning,1
banner,entertainment,creative_13,smartphone,Android_11,FR,ja,app_1,Thu,night,0
interstitial,entertainment,creative_16,tablet,Android_13,US,ja,app_50,Sun,afternoon,0
banner,food,creative_20,smartphone,iOS_14,DE,hi,app_45,Thu,afternoon,1
interstitial,gaming,creative_20,smartphone,Android_13,CN,zh,app_32,Fri,afternoon,0
video,finance,creative_3,smartphone,Android_12,UK,fr,app_9,Sat,night,0
interstitial,gaming,creative_10,smartphone,iOS_14,UK,de,app_16,Fri,afternoon,0
video,gaming,creative_12,tablet,Android_13,IN,ja,app_4,Mon,night,0
interstitial,gaming,creative_14,tablet,iOS_16,FR,fr,app_18,Fri,morning,0
banner,gaming,creative_12,tablet,Android_12,JP,hi,app_48,Mon,night,1
video,travel,creative_18,smartphone,Android_11,CN,es,app_38,Thu,morning,0
banner,travel,creative_9,tablet,iOS_16,CN,fr,app_50,Sun,morning,0
video,entertainment,creative_1,tablet,Android_12,DE,zh,app_37,Sat,night,1
banner,finance,creative_9,tablet,iOS_14,CN,es,app_47,Sat,night,0
banner,entertainment,creative_10,smartphone,iOS_16,US,hi,app_34,Mon,night,0
interstitial,gaming,creative_2,tablet,iOS_16,BR,en,app_42,Tue,morning,0
banner,entertainment,creative_14,smartphone,Android_12,UK,pt,app_49,Wed,afternoon,0
video,food,creative_16,tablet,iOS_15,UK,zh,app_42,Tue,afternoon,0
interstitial,travel,creative_12,tablet,Android_12,US,zh,app_2,Thu,night,0
interstitial,shopping,creative_11,smartphone,iOS_15,FR,en,app_49,Tue,afternoon,0
interstitial,gaming,creative_9,smartphone,Android_13,UK,fr,app_23,Thu,afternoon,1
banner,shopping,creative_19,tablet,Android_12,JP,zh,app_21,Sun,afternoon,0
interstitial,food,creative_9,tablet,Android_13,CN,fr,app_2,Tue,evening,1
video,food,creative_15,smartphone,iOS_16,JP,de,app_1,Sat,morning,1
video,finance,creative_3,smartphone,iOS_15,IN,es,app_21,Tue,evening,1
video,gaming,creative_2,smartphone,Android_13,DE,en,app_21,Sat,morning,0
video,travel,creative_3,smartphone,Android_12,IN,fr,app_5,Sat,night,1
banner,shopping,creative_11,tablet,iOS_15,US,zh,app_28,Mon,evening,0
interstitial,travel,creative_7,smartphone,iOS_15,US,de,app_46,Sat,night,1
banner,finance,creative_4,smartphone,Android_11,CN,de,app_44,Sat,night,0
interstitial,food,creative_16,tablet,iOS_16,JP,es,app_9,Wed,evening,1
banner,gaming,creative_14,smartphone,iOS_16,JP,de,app_16,Tue,morning,0
interstitial,travel,creative_17,smartphone,iOS_16,BR,ja,app_20,Mon,night,0
interstitial,gaming,creative_12,tablet,Android_13,DE,hi,app_49,Wed,evening,0
video,finance,creative_18,tablet,iOS_15,DE,ja,app_2,Tue,night,1
banner,food,creative_3,tablet,iOS_15,IN,es,app_39,Sat,night,0
banner,finance,creative_15,smartphone,iOS_14,BR,fr,app_7,Sat,evening,0
video,travel,creative_18,smartphone,iOS_16,FR,en,app_1,Thu,morning,0
video,finance,creative_4,smartphone,Android_12,UK,zh,app_10,Mon,morning,0
interstitial,food,creative_15,smartphone,Android_12,DE,es,app_11,Sat,night,0
banner,gaming,creative_4,smartphone,iOS_15,DE,de,app_47,Wed,morning,0
interstitial,finance,creative_6,smartphone,iOS_15,FR,fr,app_23,Mon,evening,0
banner,gaming,creative_11,smartphone,iOS_15,DE,pt,app_48,Sun,afternoon,0
video,finance,creative_14,smartphone,iOS_14,DE,es,app_28,Sat,morning,1
interstitial,finance,creative_20,tablet,iOS_15,BR,de,app_30,Tue,afternoon,0
banner,entertainment,creative_18,tablet,iOS_14,CN,es,app_34,Sat,afternoon,0
video,food,creative_1,tablet,Android_12,UK,zh,app_41,Fri,morning,0
interstitial,travel,creative_8,tablet,Android_13,FR,es,app_7,Thu,evening,0
interstitial,gaming,creative_7,smartphone,iOS_14,CN,en,app_10,Mon,afternoon,1
banner,travel,creative_12,tablet,iOS_16,IN,ja,app_26,Tue,afternoon,0
interstitial,gaming,creative_20,smartphone,iOS_15,US,de,app_30,Fri,afternoon,1
video,food,creative_12,tablet,iOS_14,BR,en,app_4,Sun,morning,1
interstitial,gaming,creative_9,smartphone,Android_13,FR,es,app_40,Wed,afternoon,0
banner,entertainment,creative_2,smartphone,iOS_16,CN,en,app_12,Fri,night,1
interstitial,finance,creative_15,tablet,iOS_16,IN,es,app_43,Fri,night,0
banner,gaming,creative_14,smartphone,iOS_15,DE,zh,app_33,Fri,evening,0
interstitial,travel,creative_9,smartphone,iOS_15,CN,de,app_7,Wed,morning,0
interstitial,shopping,creative_10,smartphone,Android_11,IN,hi,app_32,Thu,afternoon,0
interstitial,finance,creative_10,tablet,Android_13,BR,de,app_33,Fri,afternoon,0
video,shopping,creative_19,smartphone,Android_12,BR,hi,app_45,Tue,evening,0
video,travel,creative_6,smartphone,iOS_14,DE,hi,app_6,Fri,morning,0
banner,travel,creative_17,tablet,iOS_16,FR,hi,app_5,Tue,morning,0
banner,entertainment,creative_13,tablet,iOS_16,US,en,app_33,Sun,night,1
interstitial,entertainment,creative_11,smartphone,iOS_15,IN,es,app_7,Sun,afternoon,0
interstitial,entertainment,creative_9,tablet,iOS_15,DE,hi,app_8,Thu,evening,1
interstitial,shopping,creative_5,tablet,iOS_15,DE,pt,app_36,Mon,night,0
interstitial,entertainment,creative_5,smartphone,Android_13,JP,zh,app_45,Sun,night,1
banner,gaming,creative_14,smartphone,iOS_14,BR,ja,app_19,Thu,morning,0
banner,travel,creative_4,smartphone,Android_12,CN,es,app_25,Wed,morning,1
interstitial,travel,creative_10,tablet,iOS_14,UK,de,app_15,Fri,morning,0
banner,food,creative_4,smartphone,Android_12,IN,fr,app_24,Thu,evening,0
banner,travel,creative_19,tablet,Android_11,IN,hi,app_36,Tue,evening,0
interstitial,finance,creative_16,tablet,iOS_16,FR,zh,app_42,Thu,night,0
video,shopping,creative_5,tablet,Android_11,CN,pt,app_40,Tue,morning,0
video,travel,creative_5,smartphone,Android_13,FR,ja,app_9,Fri,evening,1
video,shopping,creative_11,smartphone,iOS_16,JP,pt,app_2,Wed,evening,1
banner,gaming,creative_15,tablet,iOS_15,CN,en,app_13,Sat,afternoon,0
banner,gaming,creative_3,smartphone,Android_13,JP,ja,app_40,Fri,evening,1
banner,entertainment,creative_19,smartphone,Android_12,CN,ja,app_10,Mon,morning,0
interstitial,food,creative_12,smartphone,iOS_16,BR,es,app_28,Fri,evening,0
video,shopping,creative_6,smartphone,iOS_14,US,en,app_25,Wed,evening,1
banner,entertainment,creative_9,smartphone,Android_12,BR,fr,app_27,Thu,morning,0
video,gaming,creative_2,tablet,Android_11,US,en,app_20,Fri,afternoon,1
video,finance,creative_8,smartphone,Android_13,JP,zh,app_22,Sun,night,1
video,shopping,creative_15,tablet,Android_12,UK,es,app_15,Sat,evening,1
interstitial,finance,creative_17,smartphone,Android_12,JP,es,app_26,Sat,morning,0
banner,food,creative_1,tablet,iOS_15,FR,hi,app_39,Tue,evening,1
video,travel,creative_18,tablet,iOS_14,FR,ja,app_41,Mon,evening,0
video,finance,creative_8,tablet,Android_12,CN,fr,app_14,Mon,afternoon,0
banner,entertainment,creative_9,tablet,iOS_15,CN,zh,app_35,Sat,afternoon,0
banner,food,creative_9,smartphone,Android_13,FR,zh,app_15,Wed,evening,0
video,entertainment,creative_11,tablet,iOS_16,JP,hi,app_29,Tue,morning,0
video,gaming,creative_17,tablet,Android_12,FR,hi,app_6,Mon,night,0
interstitial,food,creative_5,smartphone,Android_11,JP,fr,app_26,Sat,night,0
video,travel,creative_11,tablet,iOS_16,US,pt,app_12,Tue,morning,1
video,entertainment,creative_1,tablet,iOS_15,FR,ja,app_36,Wed,night,1
video,finance,creative_10,smartphone,Android_13,JP,en,app_40,Mon,evening,1
video,shopping,creative_10,smartphone,iOS_15,FR,pt,app_30,Thu,morning,0
video,travel,creative_1,smartphone,Android_12,BR,es,app_7,Sun,night,1
banner,gaming,creative_7,smartphone,Android_12,BR,pt,app_50,Thu,morning,0
video,gaming,creative_5,smartphone,Android_13,CN,de,app_7,Mon,evening,1
video,gaming,creative_5,smartphone,Android_12,UK,pt,app_5,Mon,night,1
banner,shopping,creative_14,tablet,Android_12,US,hi,app_37,Mon,night,0
video,entertainment,creative_9,smartphone,iOS_15,US,ja,app_18,Thu,evening,1
interstitial,travel,creative_6,smartphone,iOS_16,BR,es,app_4,Wed,afternoon,0
banner,entertainment,creative_15,smartphone,Android_11,DE,en,app_21,Sun,morning,0
video,food,creative_17,tablet,iOS_16,JP,en,app_50,Mon,morning,0
banner,gaming,creative_16,smartphone,Android_11,JP,en,app_39,Fri,night,1
video,finance,creative_20,smartphone,iOS_14,JP,hi,app_46,Wed,evening,1
banner,food,creative_8,tablet,iOS_16,JP,zh,app_29,Sun,morning,0
interstitial,gaming,creative_11,smartphone,iOS_16,US,de,app_15,Thu,night,1
video,finance,creative_4,smartphone,iOS_14,FR,fr,app_10,Mon,night,1
interstitial,travel,creative_6,tablet,Android_13,UK,en,app_38,Sat,morning,0
video,finance,creative_15,smartphone,Android_13,IN,hi,app_40,Fri,afternoon,1
interstitial,shopping,creative_12,smartphone,iOS_16,JP,pt,app_16,Sat,night,1
video,gaming,creative_14,tablet,iOS_14,DE,ja,app_31,Wed,afternoon,1
interstitial,travel,creative_8,tablet,iOS_16,DE,ja,app_46,Sun,morning,0
video,gaming,creative_6,tablet,iOS_14,BR,ja,app_7,Fri,evening,1
video,food,creative_3,smartphone,iOS_16,IN,ja,app_37,Thu,night,1
video,food,creative_4,smartphone,iOS_16,JP,fr,app_15,Fri,evening,1
video,travel,creative_18,tablet,iOS_14,CN,de,app_41,Tue,morning,0
video,food,creative_16,tablet,iOS_15,US,pt,app_30,Wed,evening,1
interstitial,shopping,creative_2,smartphone,Android_12,BR,en,app_45,Wed,night,1
banner,travel,creative_18,tablet,Android_11,US,fr,app_29,Sun,morning,0
interstitial,travel,creative_6,smartphone,iOS_15,JP,en,app_47,Tue,morning,0
banner,entertainment,creative_18,smartphone,iOS_15,JP,zh,app_50,Wed,evening,1
interstitial,shopping,creative_6,tablet,iOS_14,US,de,app_10,Thu,afternoon,0
video,entertainment,creative_18,smartphone,Android_13,IN,zh,app_10,Thu,morning,1
banner,gaming,creative_11,tablet,iOS_16,UK,zh,app_26,Thu,night,1
interstitial,gaming,creative_9,tablet,Android_11,FR,zh,app_29,Fri,night,1
banner,gaming,creative_13,smartphone,iOS_16,FR,zh,app_10,Fri,evening,0
interstitial,shopping,creative_11,tablet,Android_12,UK,zh,app_48,Tue,night,1
interstitial,gaming,creative_7,smartphone,iOS_16,US,de,app_48,Sun,afternoon,1
banner,finance,creative_6,smartphone,iOS_14,BR,es,app_27,Wed,night,1
interstitial,travel,creative_3,smartphone,Android_11,DE,ja,app_43,Sun,evening,0
interstitial,shopping,creative_4,smartphone,Android_11,BR,de,app_23,Sat,evening,0
video,food,creative_18,smartphone,iOS_14,US,de,app_3,Thu,evening,1
video,gaming,creative_5,smartphone,Android_12,IN,es,app_7,Sat,morning,1
banner,food,creative_1,smartphone,iOS_15,US,fr,app_44,Tue,afternoon,1
video,entertainment,creative_12,tablet,iOS_16,US,es,app_4,Fri,afternoon,0
interstitial,gaming,creative_13,tablet,iOS_15,US,pt,app_40,Thu,morning,1
interstitial,travel,creative_13,tablet,Android_12,BR,hi,app_20,Thu,afternoon,0
banner,entertainment,creative_3,tablet,iOS_15,FR,hi,app_9,Wed,afternoon,0
banner,finance,creative_16,smartphone,Android_13,FR,fr,app_26,Fri,night,0
banner,gaming,creative_4,tablet,Android_13,BR,hi,app_29,Tue,afternoon,1
interstitial,finance,creative_15,tablet,Android_13,IN,ja,app_16,Wed,evening,0
banner,finance,creative_20,smartphone,iOS_14,CN,fr,app_9,Sat,afternoon,0
interstitial,travel,creative_11,tablet,Android_11,DE,zh,app_43,Tue,afternoon,0
interstitial,shopping,creative_15,tablet,Android_12,FR,ja,app_15,Sun,evening,1
banner,finance,creative_9,tablet,Android_11,US,es,app_35,Sun,night,0
video,travel,creative_3,smartphone,Android_13,DE,en,app_12,Wed,afternoon,0
video,gaming,creative_11,smartphone,Android_12,FR,de,app_47,Wed,night,0
interstitial,gaming,creative_1,tablet,iOS_14,UK,fr,app_15,Sat,afternoon,0
video,food,creative_9,tablet,iOS_14,UK,hi,app_36,Wed,afternoon,1
video,finance,creative_15,smartphone,iOS_16,US,ja,app_45,Thu,night,1
interstitial,entertainment,creative_10,tablet,iOS_14,BR,de,app_37,Thu,morning,0
interstitial,finance,creative_16,tablet,iOS_14,FR,es,app_18,Fri,evening,0
banner,finance,creative_11,tablet,Android_12,UK,en,app_36,Fri,night,1
video,gaming,creative_8,smartphone,iOS_15,IN,en,app_26,Sat,afternoon,1
interstitial,gaming,creative_4,tablet,iOS_15,BR,pt,app_12,Thu,afternoon,1
interstitial,food,creative_14,tablet,Android_13,BR,pt,app_1,Sat,afternoon,0
video,shopping,creative_4,smartphone,iOS_15,DE,hi,app_10,Sat,morning,0
interstitial,entertainment,creative_20,smartphone,iOS_14,JP,es,app_30,Mon,night,1
banner,shopping,creative_3,tablet,iOS_14,UK,de,app_45,Fri,evening,0
interstitial,finance,creative_10,tablet,Android_12,JP,zh,app_18,Sat,afternoon,1
banner,travel,creative_11,smartphone,Android_13,CN,es,app_2,Tue,morning,0
video,gaming,creative_6,smartphone,Android_13,FR,fr,app_11,Mon,evening,1
video,travel,creative_12,smartphone,Android_11,DE,de,app_6,Tue,night,1
interstitial,food,creative_19,tablet,iOS_15,IN,de,app_33,Thu,afternoon,0
interstitial,entertainment,creative_2,tablet,Android_12,IN,hi,app_8,Sun,afternoon,1
video,finance,creative_15,tablet,iOS_16,FR,hi,app_18,Tue,night,1
interstitial,shopping,creative_12,smartphone,iOS_14,JP,zh,app_50,Fri,evening,0
banner,food,creative_7,smartphone,Android_12,IN,pt,app_30,Tue,night,0
video,food,creative_1,smartphone,Android_11,DE,es,app_14,Fri,evening,1
video,gaming,creative_2,tablet,iOS_15,DE,hi,app_15,Sun,morning,0
interstitial,gaming,creative_11,tablet,Android_11,DE,fr,app_30,Sat,morning,0
video,finance,creative_15,smartphone,Android_11,DE,pt,app_47,Mon,evening,0
banner,shopping,creative_9,smartphone,iOS_14,JP,pt,app_11,Mon,morning,0
banner,finance,creative_5,tablet,iOS_16,BR,hi,app_39,Fri,afternoon,0
interstitial,shopping,creative_8,smartphone,iOS_14,UK,de,app_45,Thu,morning,0
video,shopping,creative_4,smartphone,iOS_16,UK,ja,app_3,Sat,night,1
banner,travel,creative_12,tablet,Android_12,IN,hi,app_44,Thu,night,0
video,entertainment,creative_16,smartphone,iOS_16,UK,en,app_33,Thu,night,1
banner,travel,creative_1,tablet,Android_13,US,en,app_50,Fri,night,0
interstitial,finance,creative_18,smartphone,Android_11,BR,de,app_22,Sun,afternoon,0
interstitial,travel,creative_6,tablet,Android_13,DE,fr,app_43,Tue,evening,0
video,entertainment,creative_14,tablet,Android_11,IN,pt,app_18,Sat,afternoon,0
interstitial,finance,creative_18,tablet,Android_13,CN,de,app_23,Tue,night,0
video,entertainment,creative_4,tablet,iOS_14,DE,zh,app_24,Tue,morning,0
interstitial,shopping,creative_1,smartphone,Android_11,UK,en,app_23,Tue,afternoon,0
video,food,creative_1,tablet,iOS_15,US,pt,app_37,Tue,night,1
interstitial,finance,creative_1,tablet,iOS_15,FR,ja,app_18,Tue,morning,0
interstitial,entertainment,creative_11,smartphone,iOS_16,DE,de,app_24,Thu,night,1
banner,travel,creative_11,tablet,Android_13,US,pt,app_29,Tue,night,0
video,finance,creative_1,tablet,iOS_14,JP,en,app_45,Thu,morning,1
interstitial,shopping,creative_19,tablet,Android_13,UK,fr,app_26,Thu,evening,0
interstitial,food,creative_14,tablet,iOS_16,DE,pt,app_38,Fri,afternoon,0
video,travel,creative_19,smartphone,Android_13,US,de,app_27,Thu,afternoon,0
banner,food,creative_12,smartphone,iOS_16,US,en,app_22,Sat,evening,1
interstitial,travel,creative_18,tablet,Android_11,IN,en,app_4,Mon,night,0
interstitial,food,creative_13,tablet,iOS_14,DE,zh,app_37,Mon,night,0
banner,shopping,creative_15,tablet,iOS_15,US,de,app_1,Mon,morning,0
interstitial,entertainment,creative_6,tablet,iOS_16,IN,ja,app_26,Tue,evening,1
interstitial,shopping,creative_17,tablet,Android_11,FR,pt,app_30,Sat,night,0
interstitial,shopping,creative_16,smartphone,iOS_16,UK,de,app_48,Sun,morning,0
video,travel,creative_12,smartphone,Android_13,DE,hi,app_15,Sat,night,1
interstitial,travel,creative_3,tablet,iOS_15,IN,de,app_48,Wed,afternoon,0
banner,gaming,creative_19,tablet,iOS_16,UK,es,app_5,Tue,evening,0
interstitial,finance,creative_7,smartphone,Android_13,FR,es,app_37,Thu,afternoon,0
banner,gaming,creative_4,tablet,Android_13,UK,es,app_33,Mon,night,0
video,gaming,creative_11,smartphone,Android_12,JP,pt,app_39,Fri,morning,1
banner,food,creative_12,smartphone,iOS_14,IN,es,app_46,Sun,evening,0
banner,gaming,creative_11,smartphone,Android_11,BR,zh,app_33,Tue,evening,0
video,finance,creative_5,smartphone,iOS_14,US,zh,app_18,Fri,night,1
banner,entertainment,creative_15,smartphone,iOS_15,CN,zh,app_35,Tue,night,0
interstitial,gaming,creative_19,smartphone,iOS_16,JP,zh,app_2,Fri,morning,0
interstitial,food,creative_16,tablet,Android_13,DE,es,app_32,Mon,night,1
interstitial,finance,creative_3,smartphone,iOS_15,DE,ja,app_46,Sun,evening,0
banner,shopping,creative_12,tablet,iOS_16,BR,fr,app_32,Thu,afternoon,0
video,finance,creative_11,tablet,Android_13,BR,ja,app_38,Sat,evening,1
interstitial,gaming,creative_14,smartphone,Android_12,UK,en,app_49,Sat,evening,1
interstitial,food,creative_1,smartphone,iOS_14,FR,en,app_14,Sun,evening,0
banner,entertainment,creative_7,tablet,iOS_15,UK,es,app_28,Mon,morning,0
interstitial,shopping,creative_1,smartphone,Android_12,BR,zh,app_6,Tue,morning,0
interstitial,finance,creative_2,smartphone,Android_12,CN,de,app_25,Mon,afternoon,1
banner,gaming,creative_20,tablet,Android_11,FR,fr,app_2,Fri,morning,0
banner,finance,creative_12,tablet,iOS_15,IN,de,app_16,Fri,night,0
interstitial,travel,creative_13,tablet,iOS_16,JP,pt,app_14,Wed,morning,0
banner,shopping,creative_3,smartphone,Android_13,FR,hi,app_49,Sat,evening,0
video,entertainment,creative_9,tablet,Android_11,JP,zh,app_31,Sat,morning,0
banner,shopping,creative_5,smartphone,iOS_15,US,hi,app_18,Sun,evening,0
interstitial,entertainment,creative_16,smartphone,Android_12,JP,ja,app_46,Sun,night,0
interstitial,gaming,creative_16,smartphone,Android_12,UK,es,app_13,Fri,night,1
interstitial,gaming,creative_16,tablet,iOS_15,DE,en,app_35,Wed,evening,1
interstitial,entertainment,creative_9,smartphone,iOS_15,US,pt,app_34,Mon,night,1
